galaxy_type,distance_Mpc,luminosity
Irregular,148.53,0.819
Elíptica,99.6,3.34
Elíptica,87.97,1.53
Irregular,105.85,4.574
Espiral,128.0,4.368
Elíptica,118.64,0.819
Elíptica,42.07,1.571
Elíptica,14.49,3.51
Irregular,54.16,1.464
Elíptica,47.48,1.095
Irregular,39.54,4.71
Irregular,142.01,3.07
Irregular,132.69,2.627
Elíptica,54.05,4.031
Irregular,101.76,4.134
Espiral,65.39,1.357
Elíptica,138.04,0.936
Elíptica,74.24,2.44
Elíptica,47.08,2.406
Elíptica,44.53,2.602
Elíptica,88.59,3.781
Irregular,46.78,3.53
Irregular,91.84,4.929
Elíptica,135.7,0.943
Irregular,65.92,2.312
Elíptica,40.7,2.027
Irregular,149.66,4.378
Irregular,81.33,1.619
Irregular,22.73,1.356
Irregular,16.6,2.519
Espiral,25.35,2.398
Elíptica,97.84,1.753
Espiral,120.89,1.624
Irregular,69.1,4.655
Espiral,18.89,2.494
Elíptica,63.43,4.376
Elíptica,149.46,2.976
Irregular,84.08,0.728
Espiral,145.95,4.997
Espiral,130.51,4.262
Espiral,11.61,4.86
Elíptica,110.9,4.669
Elíptica,105.44,4.319
Espiral,85.18,1.248
Elíptica,47.36,2.685
Elíptica,99.73,1.462
Espiral,25.62,2.305
Elíptica,70.87,0.764
Espiral,73.52,2.205
Espiral,143.53,4.934
Irregular,132.62,1.693
Espiral,46.87,4.028
Elíptica,80.08,2.548
Irregular,35.01,2.404
Espiral,137.77,4.808
Irregular,131.87,4.979
Elíptica,51.78,3.001
Espiral,99.45,3.733
Elíptica,95.26,1.197
Irregular,31.4,1.835
Espiral,116.75,4.859
Irregular,85.51,3.106
Irregular,119.01,2.94
Espiral,84.25,3.866
Irregular,10.08,0.757
Elíptica,55.38,3.129
Irregular,12.73,2.763
Elíptica,140.07,4.337
Elíptica,133.02,1.208
Irregular,126.43,4.824
Elíptica,53.05,0.861
Espiral,18.11,1.336
Elíptica,132.92,3.178
Elíptica,142.57,3.538
Elíptica,21.99,1.558
Espiral,78.04,1.039
Espiral,19.69,4.506
Espiral,116.48,1.608
Irregular,117.22,3.175
Espiral,27.97,3.287
Elíptica,76.54,2.387
Espiral,86.97,3.127
Espiral,47.11,2.853
Elíptica,132.14,4.706
Irregular,69.24,1.419
Espiral,39.65,3.723
Irregular,85.5,1.574
Irregular,112.19,2.281
Irregular,38.16,3.523
Elíptica,53.64,1.85
Irregular,149.32,1.923
Irregular,100.98,3.883
Elíptica,71.33,0.826
Irregular,82.46,2.562
Irregular,26.94,4.993
Elíptica,41.46,4.982
Elíptica,57.33,0.83
Espiral,92.36,1.459
Espiral,42.22,1.693
Espiral,40.83,4.7
